SITC_code,description,sector_code,stage,multiplier
S2-7429,"Parts, nes of pumps and liquids elevators falling in heading 742",13,component,1
S2-743,"Pumps, compressors; centrifuges; filtering apparatus; etc, parts",,,
S2-7431,"Air pumps, vacuum pumps and air or gas compressors",12,final,1
S2-7432,"Parts, nes of the pumps and compressor falling within heading 7431",12,final,1
S2-7433,"Free-piston generators for gas turbines and parts thereof, nes",12,final,1
S2-7434,"Fans, blowers and the like, and parts thereof, nes",12,final,1
S2-7435,Centrifuges,12,final,1
S2-7436,"Filtering and purifying machinery, apparatus for liquids and gases",12,final,1
S2-7439,"Parts, nes of the machines falling within headings 7435 and 7436",12,component,1
S2-744,"Mechanical handling equipment, and parts thereof, nes",,,
S2-7441,"Work trucks, of the type use in factories, dock areas, etc",,,
S2-74411,"Work trucks, of the type use in factories, dock areas, etc",11,final,1
S2-74419,"Parts, nes of the trucks and tractors falling within heading 74411",11,component,1
S2-7442,"Lifting, handling, loading machinery, telphers and conveyors",11,final,1
S2-74421,"Pulley tackle and hoists, winches and capstans",,,
S2-74422,Ships' derricks; cranes (non-cable cranes); mobile lifting frames,,,
S2-74423,Pneumatic elevators and conveyors,,,
S2-74424,Lifts and skip hoists,,,
S2-74425,Escalator and moving pavements,,,
S2-74428,"Other lifting, handling, loading and unloading machinery, nes",,,
S2-7449,"Parts, nes of the machinery falling within heading 7442",11,component,1
S2-745,"Other non-electric machinery, tools and mechanical apparatus, nes",,,
S2-7451,"Power hand tools, pneumatic or non-electric, and parts thereof, nes",,,
S2-74511,Power hand tools pneumatic or self-contained non-electric motor,5,final,1
S2-74519,"Parts, nes of the tools falling within heading 74511",5,component,1
S2-7452,"Other non-electrical machines and parts thereof, nes",5,final,1
S2-74521,"Calendering and other rolling machines and cylinders thereof, parts",,,
S2-74522,"Packaging, bottling, etc machinery",,,
S2-74523,"Parts, nes of the machinery falling within headings 74522 and 7753",,,
S2-74524,"Automatic vending machines; and parts thereof, nes",,,
S2-74525,Weighing machinery,,,
S2-74526,"Weighing machine weights of all kinds; parts, nes",,,
S2-74527,"Spraying machinery; fire extinguishers; etc, and parts thereof, nes",,,
S2-749,"Non-electric parts and accessories of machinery, nes",12,final,1
S2-7491,"Ball, roller or needle roller bearings",,,
S2-7492,"Cocks, valves and similar appliances, for pipes boiler shells, etc",,,
S2-7493,"Shaft, crank, bearing housing, pulley and pulley blocks, etc",,,
S2-7499,"Other non-electric parts and accessories of machinery, nes",,,
S2-74991,"Foundry moulds, and moulds for glass, mineral, rubber or plastic",,,
S2-74992,Metal-plastic gaskets,,,
S2-74999,"Machinery parts, non-electrical, nes",,,
S2-75,Office machines and automatic data processing equipment,,,
S2-751,Office machines,,,
S2-7511,Typewriters; cheque-writing machines,12,final,1
S2-75111,"Typewriters with ordinary characters, electric",,,
S2-75112,"Typewriters with ordinary characters, non-electric",,,
S2-75118,"Typewriters, nes; cheque-writing machines",,,
S2-7512,"Calculating, accounting, cash registers, ticketing, etc, machines",8,final,1
S2-75121,Calculating machines,,,
S2-75122,Accounting machines,,,
S2-75123,Cash registers,,,
S2-75128,"Postage-franking, tickets-issuing and similar machines",,,
S2-7518,"Office machines, nes",8,final,1
S2-75181,"Duplicating machine, hectograph or stencil",,,
S2-75182,Photo-copying and thermo-copying apparatus,,,
S2-75188,"Other office machines, nes",,,
S2-752,Automatic data processing machines and units thereof,,,
S2-7521,Analogue and hybrid data processing machines,,,
S2-7522,Complete digital data processing machines,,,
S2-7523,Complete digital central processing units; digital processors,,,
S2-7524,"Digital central storage units, separately consigned",,,
S2-7525,"Peripheral units, including control and adapting units",,,
S2-7528,"Off-line data processing equipment, nes",,,
S2-759,"Parts, nes of and accessories for machines of headings 751 or 752",,,
S2-7591,"Parts, nes of and accessories for machines of headings 7511 or 7518",,,
S2-75911,"Parts, nes of and accessories for typewriters of heading 7511",,,
S2-75915,"Parts, accessories for machines of headings 75181, 75188 and 75118",,,
S2-75919,"Parts, nes of and accessories for photo and thermo-coping machines",,,
S2-7599,"Parts, nes of and accessories for machines of headings 7512 and 752",,,
S2-76,"Telecommunications, sound recording and reproducing equipment",,,
S2-761,Television receivers,,,
S2-7611,"Television receivers, colour",,,
S2-7612,"Television receivers, monochrome",,,
S2-762,Radio-broadcast receivers,,,
S2-7621,Radio receivers for motor-vehicles,,,
S2-7622,Portable radio receivers,,,
S2-7628,Other radio receivers,,,
S2-763,"Gramophones, dictating machines and other sound recorders",,,
S2-7631,"Gramophones and record players, electric",,,
S2-76311,"Gramophones, electric, coin-operated",,,
S2-76318,Other electric gramophones and record players,,,
S2-7638,"Other sound recording and reproducer, nes; video recorders",,,
S2-76381,Television image and sound recorders or reproducers,,,
S2-76388,"Dictating machines and other sound recorders and reproducers, nes",,,
S2-764,"Telecommunication equipment, nes; parts and accessories, nes",,,
S2-7641,Electrical line telephonic and telegraphic apparatus,,,
S2-7642,Microphones; loud-speakers; audio-frequency electric amplifiers,,,
S2-7643,"Television, radio-broadcasting; transmitters, etc",,,
S2-7648,"Telecommunications equipment, nes",,,
S2-76481,Radiotelephonic or radiotelegraphic receivers,,,
S2-76482,Television cameras,,,
S2-76483,"Radio navigational aid apparatus, radar apparatus etc",,,
S2-7649,"Parts, nes of and accessories for apparatus falling in heading 76",,,
S2-76491,"Parts, nes of the apparatus falling within heading 7641",,,
S2-76492,"Parts, nes of the apparatus, equipment falling within heading 7642",,,
S2-76493,"Parts, nes of the apparatus of the heading 761, 762, 7643 and 7648",,,
S2-76499,"Parts, nes of and accessories for apparatus falling in heading 763",,,
S2-77,"Electric machinery, apparatus and appliances, nes, and parts, nes",,,
S2-771,"Electric power machinery, and parts thereof, nes",8,final,1
S2-7711,"Transformers, electrical",,,
S2-77111,Liquid dielectric transformers,,,
S2-77118,Other electric transformers,,,
S2-7712,"Other electric power machinery, parts, nes",,,
S2-77121,"Static converters, rectifiers and rectifying apparatus",,,
S2-77122,Inductors,,,
S2-77129,"Parts, nes of the electric power machinery falling in heading 771",,,
S2-772,Electrical apparatus for making and breaking electrical circuits,8,final,1
S2-7721,"Switches, relays, fuses, etc; switchboards and control panels, nes",,,
S2-7722,"Printed circuits, and parts thereof, nes",,,
S2-7723,"Fixed, variable resistors, other than heating resistors, parts, nes",,,
S2-773,Equipment for distribution of electricity,8,final,1
S2-7731,"Insulated electric wire, cable, bars, etc",,,
S2-7732,Electrical insulating equipment,,,
S2-77321,"Electrical insulated conduit tubing and joints, of base metal",,,
S2-77322,Electrical insulators of glass,,,
S2-77323,Electrical insulators of ceramic materials,,,
S2-77324,Electrical insulators of other materials,,,
S2-77325,Glass electrical insulators fittings,,,
S2-77326,Ceramic electrical insulators fittings,,,
S2-77327,Other electrical insulators fittings nes,,,
S2-774,Electro-medical and radiological equipment,8,final,1
S2-7741,Electro-medical equipment,,,
S2-7742,"X-ray apparatus and equipment; accessories; and parts, nes",,,
S2-775,"Household type equipment, nes",8,final,1
S2-7751,"Household laundry equipment, nes",,,
S2-77511,Domestic washing machines,,,
S2-77512,Domestic drying machines,,,
S2-7752,Domestic refrigerators and freezers,,,
S2-77521,Domestic refrigerators,,,
S2-77522,Domestic deep-freezers,,,
S2-7753,Domestic dishwashing machines,,,
S2-7754,"Electric shavers and hair clippers, parts thereof, nes",,,
S2-7757,"Domestic electro-mechanical appliances; and parts thereof, nes",,,
S2-77571,Domestic electric vacuum cleaners and floor polishers,,,
S2-77572,Domestic electric room fans and vented hoods,,,
S2-77573,"Domestic electric food grinders and mixers, etc",,,
S2-77578,"Other domestic electric appliances, nes",,,
S2-77579,"Parts, nes of the electro-domestic equipment of heading 7757",,,
S2-7758,"Electro-thermic appliances, nes",,,
S2-77581,Electric water heaters,,,
S2-77582,Electric soil and space heaters,,,
S2-77583,Electric hair dressing apparatus,,,
S2-77584,Electric smoothing irons,,,
S2-77585,Electric blankets,,,
S2-77586,"Electro-thermic domestic appliances, nes",,,
S2-77587,Non-carbon electric heating resistors,,,
S2-77589,"Parts, nes of the electro-thermic appliances",,,
S2-776,"Thermionic, microcircuits, transistors, valves, etc",8,final,1
S2-7761,"Television picture tubes, cathode ray",,,
S2-7762,Other electronic valves and tubes,,,
S2-7763,"Diodes, transistors, photocells, etc",,,
S2-7764,Electronic microcircuits,,,
S2-7768,"Crystals, and parts, nes of electronic components of heading 776",,,
S2-77681,"Piezo-electric crystals, mounted",,,
S2-77689,"Electronic components, parts nes",,,
S2-778,"Electrical machinery and apparatus, nes",8,final,1
S2-7781,"Batteries and electric accumulators, and parts thereof, nes",,,
S2-77811,"Primary batteries and cells, and parts thereof, nes",,,
S2-77812,Electric accumulators,,,
S2-77819,"Parts, nes of electric accumulators",,,
S2-7782,Electric filament lamps and discharge lamps; arc-lamps,,,
S2-77821,Filament lamps,,,
S2-77822,Discharge lamps,,,
S2-77824,"Ultraviolet, infra-red lamps and arc lamps",,,
S2-77829,Parts nes of lamps falling within heading 7782,,,
S2-7783,"Automotive electrical equipment; and parts thereof, nes",,,
S2-77831,"Ignition, starting equipment, generators, etc, parts thereof, nes",,,
S2-77832,"Vehicles electric lighting equipment; defrosters, etc, parts, nes",,,
S2-7784,"Electro-mechanical hand tools, and parts thereof, nes",,,
S2-7788,"Other electrical machinery and equipment, nes",,,
S2-77881,Electro-magnets etc,,,
S2-77882,Electric traffic control equipment,,,
S2-77883,Electric sound and visual signaling equipment,,,
S2-77884,Electrical condensers,,,
S2-77885,"Particle accelerators, and parts thereof, nes",,,
S2-77886,"Other electrical appliances and apparatus, nes",,,
S2-77887,Electrical carbons articles for electrical purposes,,,
S2-77889,"Electrical parts of machinery and apparatus, nes",,,
S2-78,Road vehicles,,,
S2-781,Passenger motor vehicles (excluding buses),15a,final,0.47
S2-781,Passenger motor vehicles (excluding buses),15b,final,0.53
S2-7810,Passenger motor vehicles (excluding buses),,,
S2-782,Lorries and special purposes motor vehicles,15a,final,0.47
S2-782,Lorries and special purposes motor vehicles,15b,final,0.53
S2-7821,Motor vehicles for the transport of goods or materials,,,
S2-7822,Special purpose motor lorries and vans,,,
S2-783,"Road motor vehicles, nes",15a,final,0.47
S2-783,"Road motor vehicles, nes",15b,final,0.53
S2-7831,Public service type passenger motor vehicles,,,
S2-7832,Road tractors for semi-trailers,,,
S2-784,"Motor vehicle parts and accessories, nes",,,
S2-7841,"Chassis fitted with engines, for vehicles of headings 722, 781-783",15b,component,1
S2-7842,"Bodies, for vehicles of headings 722, 781-783",15a,component,1
S2-7849,"Other parts and accessories, for vehicles of headings 722, 781-783",15a,component,0.47
S2-7849,"Other parts and accessories, for vehicles of headings 722, 781-783",15b,component,0.53
S2-785,"Cycles, scooters, motorized or not; invalid carriages",,,
S2-7851,"Motorcycles, auto-cycles; side-cars of all kind, etc",16,final,1
S2-7852,"Cycles, not motorized",16,final,1
S2-7853,"Invalid carriages; parts, nes of articles of heading 785",,,
S2-78531,Invalid carriages,16,final,1
S2-78539,"Parts, nes and accessories for articles of heading 785",16,component,1
S2-786,"Trailers, and other vehicles, not motorized, nes",,,
S2-7861,Trailers and transports containers,16,final,1
S2-78611,Housing or camping trailers,,,
S2-78612,Trailers for the transports of goods,,,
S2-78613,Containers for carriage by one or more modes of transport,,,
S2-7868,"Other not mechanically propelled vehicles; and parts, nes",,,
S2-78681,Other not mechanically propelled vehicles,16,final,1
S2-78689,"Parts, nes of trailers and vehicles of heading 78681",16,component,1
S2-79,Other transport equipment,,,
S2-791,Railway vehicles and associated equipment,,,
S2-7911,"Rail locomotives, electric",16,final,1
S2-7912,Other rail locomotives; tenders,16,final,1
S2-7913,"Mechanically propelled railway, tramway, trolleys, etc",16,final,1
S2-7914,"Railway, tramway passenger coaches, etc, not mechanically propelled",16,final,1
S2-7915,"Railway and tramway freight, etc, not mechanically propelled",16,final,1
S2-79151,"Railway service vehicles, not mechanically propelled",,,
S2-79152,Railway freight cars,,,
S2-7919,"Railway track fixtures, and fittings, etc, parts nes of heading 791",16,component,1
S2-79191,"Railway track fixtures and fittings, parts thereof, nes",,,
S2-79199,"Parts, nes of the railway, tramway locomotives, headings 7911-7915",,,
S2-792,"Aircraft and associated equipment, and parts thereof, nes",,,
S2-7921,Helicopters,,,
S2-7922,Aircraft of an unladen weight not exceeding 2000 kg,16,final,1
S2-7923,Aircraft of an unladen weight from 2000 kg to 15000 kg,16,final,1
S2-7924,Aircraft of an unladen weight exceeding 15000 kg,16,final,1
S2-7928,"Aircraft, nes and associated equipment",16,final,1
S2-79281,"Gliders, kites, rotochutes",,,
S2-79282,Balloons and airships,,,
S2-79283,Aircraft launching gear; ground flying trainers; and parts nes,,,
S2-7929,"Parts, nes of the aircraft of heading 792",16,component,1
S2-793,"Ships, boats and floating structures",16,final,1
S2-7931,Warships,,,
S2-7932,"Ships, boats and other vessels",,,
S2-79321,Yachts and sports vessels,,,
S2-79322,Tankers of all kinds,,,
S2-79323,Other cargo vessels,,,
S2-79324,"Trawlers and other fishing vessels; factory ships, etc",,,
S2-79328,"Ships, boats and other vessels, nes",,,
S2-7933,"Ships, boats and other vessels for breaking up",,,
S2-7938,"Tugs, special purpose vessels and floating structures",,,
S2-79381,Tugs,,,
S2-79382,"Special purpose vessels, floating docks, etc",,,
S2-79383,"Floating structures, other than vessels",,,
S2-8,Miscellaneous manufactured articles,,,
S2-81,"Sanitary, plumbing, heating, lighting fixtures and fittings, nes",,,
S2-812,"Sanitary, plumbing, heating, lighting fixtures and fittings, nes",,,
S2-8121,"Central heating equipment, not electrically heated, parts, nes",12,final,1
S2-8122,Ceramic plumbing fixtures,7,final,1
S2-8124,"Lighting fixture and fittings, lamps, lanterns, and parts, nes",7,final,1
S2-81241,"Illuminating, signaling glassware and optical elements of glass",,,
S2-81242,"Lamps and lighting fittings, of base metal, and parts thereof, nes",,,
S2-81243,Portable electric battery and magneto lamps,,,
S2-82,Furniture and parts thereof,,,
S2-821,Furniture and parts thereof,,,
S2-8211,"Chairs and other seats; and parts thereof, nes",,,
S2-82111,"Chairs and other seats, whether or not convertible into beds",7,final,1
S2-82119,"Parts, nes of chairs and other seats falling in heading 82111",7,component,1
S2-8212,"Furniture for medical, surgical, dental or veterinary practice",7,final,1
S2-82121,"Medical, surgical, dental or veterinary furniture, and parts, nes",,,
S2-82122,"Mattress supports; articles of bedding, etc, parts thereof, nes",,,
S2-8219,"Other furniture and parts thereof, nes",,,
S2-82191,"Furniture, nes of metal",7,final,1
S2-82192,"Furniture, nes of wood",,,
S2-82199,"Furniture, nes of other materials; parts, nes",,,
S2-83,"Travel goods, handbags and similar containers",,,
S2-831,"Travel goods, handbags etc, of leather, plastics, textile, others",,,
S2-8310,"Travel goods, handbags etc, of leather, plastics, textile, others",,,
S2-83101,Handbags,,,
S2-83102,Travel goods and toilet-cases,,,
S2-83103,Satchels and brief-cases,,,
S2-83109,"Other similar containers, of leather, plastics, textile, etc",,,
S2-84,Articles of apparel and clothing accessories,,,
S2-842,"Men's and boys' outerwear, textile fabrics not knitted or crocheted",,,
S2-8421,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; overcoats and other coats",,,
S2-84211,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; overcoats and other coats; of wool or fine animal hair",,,
S2-84219,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; overcoats and other coats; of other fibres",,,
S2-8422,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; suits",,,
S2-84221,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; suits; of wool or fine animal hair",,,
S2-84222,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; suits; of cotton",,,
S2-84223,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; suits; of man-made fibres",,,
S2-84229,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; suits; of other fibres",,,
S2-8423,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; trousers, breeches and the like",,,
S2-84231,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; trousers, breeches and the like; of wool or fine animal hair",,,
S2-84232,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; trousers, breeches and the like; of cotton",,,
S2-84233,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; trousers, breeches and the like; of man-made fibres",,,
S2-84239,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; trousers, breeches and the like; of other fibres",,,
S2-8424,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; jackets, blazers and the like",,,
S2-84241,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; jackets, blazers and the like; of wool or fine animal hair",,,
S2-84242,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; jackets, blazers and the like; of cotton",,,
S2-84243,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; jackets, blazers and the like; of man-made fibres",,,
S2-84249,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; jackets, blazers and the like; of other fibres",,,
S2-8429,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; other outer garments",,,
S2-84291,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; other outer garments; of the fabrics of headings 65732, 65733 and 65739",,,
S2-84292,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; other outer garments; of wool or fine animal hair",,,
S2-84293,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; other outer garments; of cotton",,,
S2-84294,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; other outer garments; of man-made fibres",,,
S2-84299,"Men's and boys' outerwear, textile fabrics not knitted or crocheted; other outer garments; of other fibres",,,
S2-843,"Womens, girls, infants outerwear, textile, not knitted or crocheted",,,
S2-8431,"Womens, girls, infants outerwear, textile, not knitted or crocheted; coats and jackets",,,
S2-84311,"Womens, girls, infants outerwear, textile, not knitted or crocheted; coats and jackets; of wool or fine animal hair",,,
S2-84312,"Womens, girls, infants outerwear, textile, not knitted or crocheted; coats and jackets; of cotton",,,
S2-84313,"Womens, girls, infants outerwear, textile, not knitted or crocheted; coats and jackets; of man-made fibres",,,
S2-84319,"Womens, girls, infants outerwear, textile, not knitted or crocheted; coats and jackets; of other fibres",,,
S2-8432,"Womens, girls, infants outerwear, textile, not knitted or crocheted; suits and costumes",,,
S2-84321,"Womens, girls, infants outerwear, textile, not knitted or crocheted; suits and costumes; of wool, fine hair",,,
S2-84322,"Womens, girls, infants outerwear, textile, not knitted or crocheted; suits and costumes; of cotton",,,
S2-84323,"Womens, girls, infants outerwear, textile, not knitted or crocheted; suits and costumes; of man-made fibres",,,
S2-84329,"Womens, girls, infants outerwear, textile, not knitted or crocheted; suits and costumes; of other fibres",,,
S2-8433,"Womens, girls, infants outerwear, textile, not knitted or crocheted; dresses",,,
S2-84331,"Womens, girls, infants outerwear, textile, not knitted or crocheted; dresses; of wool or fine animal hair",,,
S2-84332,"Womens, girls, infants outerwear, textile, not knitted or crocheted; dresses; of cotton",,,
S2-84333,"Womens, girls, infants outerwear, textile, not knitted or crocheted; dresses; of man-made fibres",,,
S2-84339,"Womens, girls, infants outerwear, textile, not knitted or crocheted; dresses; of other fibres",,,
S2-8434,"Womens, girls, infants outerwear, textile, not knitted or crocheted; skirts",,,
S2-84341,"Womens, girls, infants outerwear, textile, not knitted or crocheted; skirts; of wool or fine animal hair",,,
S2-84342,"Womens, girls, infants outerwear, textile, not knitted or crocheted; skirts; of cotton",,,
S2-84343,"Womens, girls, infants outerwear, textile, not knitted or crocheted; skirts; of man-made fibres",,,
S2-84349,"Womens, girls, infants outerwear, textile, not knitted or crocheted; skirts; of other fibres",,,
S2-8435,"Womens, girls, infants outerwear, textile, not knitted or crocheted; blouses",,,
S2-84351,"Womens, girls, infants outerwear, textile, not knitted or crocheted; blouses; of cotton",,,
S2-84352,"Womens, girls, infants outerwear, textile, not knitted or crocheted; blouses; of man-made fibres",,,
S2-84359,"Womens, girls, infants outerwear, textile, not knitted or crocheted; blouses; of other fibres",,,
S2-8439,"Womens, girls, infants outerwear, textile, not knitted or crocheted; other outer garments of textile fabrics, not knitted, crocheted",,,
S2-84391,"Womens, girls, infants outerwear, textile, not knitted or crocheted; other outer garments of textile fabrics, not knitted, crocheted; of the fabrics of headings 65732, 65733 and 65739",,,
S2-84392,"Womens, girls, infants outerwear, textile, not knitted or crocheted; other outer garments of textile fabrics, not knitted, crocheted; of wool or fine animal hair",,,
S2-84393,"Womens, girls, infants outerwear, textile, not knitted or crocheted; other outer garments of textile fabrics, not knitted, crocheted; of cotton",,,
S2-84394,"Womens, girls, infants outerwear, textile, not knitted or crocheted; other outer garments of textile fabrics, not knitted, crocheted; of man-made fibres",,,
S2-84399,"Womens, girls, infants outerwear, textile, not knitted or crocheted; other outer garments of textile fabrics, not knitted, crocheted; of other fibres",,,
S2-844,"Under garments of textile fabrics, not knitted or crocheted",,,
S2-8441,"Under garments of textile fabrics, not knitted or crocheted; mens and boys shirts",,,
S2-84411,"Under garments of textile fabrics, not knitted or crocheted; mens and boys shirts; of cotton",,,
S2-84412,"Under garments of textile fabrics, not knitted or crocheted; mens and boys shirts; of synthetic fibres",,,
S2-84419,"Under garments of textile fabrics, not knitted or crocheted; mens and boys shirts; of other fibres",,,
S2-8442,"Under garments of textile fabrics, not knitted or crocheted; mens, boys under garments; other than shirts",,,
S2-84421,"Under garments of textile fabrics, not knitted or crocheted; mens, boys under garments; other than shirts; of cotton",,,
S2-84422,"Under garments of textile fabrics, not knitted or crocheted; mens, boys under garments; other than shirts; of synthetic fibres",,,
S2-84429,"Under garments of textile fabrics, not knitted or crocheted; mens, boys under garments; other than shirts; of other fibres",,,
S2-8443,"Under garments of textile fabrics, not knitted or crocheted; womens, girls, infants under garments, textile, not knitted, etc",,,
S2-84431,"Under garments of textile fabrics, not knitted or crocheted; womens, girls, infants under garments, textile, not knitted, etc; of cotton",,,
S2-84432,"Under garments of textile fabrics, not knitted or crocheted; womens, girls, infants under garments, textile, not knitted, etc; of synthetic fibres",,,
S2-84439,"Under garments of textile fabrics, not knitted or crocheted; womens, girls, infants under garments, textile, not knitted, etc; of other fibres",,,
S2-845,"Outerwear knitted or crocheted, not elastic nor rubberized",,,
S2-8451,"Outerwear knitted or crocheted, not elastic nor rubberized; jerseys, pullovers, slip-overs, cardigans, etc",,,
S2-84511,"Outerwear knitted or crocheted, not elastic nor rubberized; jerseys, pullovers, slip-overs, cardigans, etc; of wool or fine animal hair",,,
S2-84512,"Outerwear knitted or crocheted, not elastic nor rubberized; jerseys, pullovers, slip-overs, cardigans, etc; of cotton",,,
S2-84513,"Outerwear knitted or crocheted, not elastic nor rubberized; jerseys, pullovers, slip-overs, cardigans, etc; of synthetic fibres",,,
S2-84514,"Outerwear knitted or crocheted, not elastic nor rubberized; jerseys, pullovers, slip-overs, cardigans, etc; of regenerated fibres",,,
S2-84519,"Outerwear knitted or crocheted, not elastic nor rubberized; jerseys, pullovers, slip-overs, cardigans, etc; of other fibres",,,
S2-8452,"Outerwear knitted or crocheted, not elastic nor rubberized; womens, girls, infants, suits, dresses, etc, knitted, crocheted",,,
S2-84521,"Outerwear knitted or crocheted, not elastic nor rubberized; womens, girls, infants, suits, dresses, etc, knitted, crocheted; of wool or fine animal hair",,,
S2-84522,"Outerwear knitted or crocheted, not elastic nor rubberized; womens, girls, infants, suits, dresses, etc, knitted, crocheted; of cotton",,,
S2-84523,"Outerwear knitted or crocheted, not elastic nor rubberized; womens, girls, infants, suits, dresses, etc, knitted, crocheted; of synthetic fibres",,,
S2-84524,"Outerwear knitted or crocheted, not elastic nor rubberized; womens, girls, infants, suits, dresses, etc, knitted, crocheted; of regenerated fibres",,,
S2-84529,"Outerwear knitted or crocheted, not elastic nor rubberized; womens, girls, infants, suits, dresses, etc, knitted, crocheted; of other fibres",,,
S2-8459,"Outerwear knitted or crocheted, not elastic nor rubberized; other, clothing accessories, non-elastic, knitted or crocheted",,,
S2-84591,"Outerwear knitted or crocheted, not elastic nor rubberized; other, clothing accessories, non-elastic, knitted or crocheted; of wool or fine animal hair",,,
S2-84592,"Outerwear knitted or crocheted, not elastic nor rubberized; other, clothing accessories, non-elastic, knitted or crocheted; of cotton",,,
S2-84593,"Outerwear knitted or crocheted, not elastic nor rubberized; other, clothing accessories, non-elastic, knitted or crocheted; of synthetic fibres",,,
S2-84594,"Outerwear knitted or crocheted, not elastic nor rubberized; other, clothing accessories, non-elastic, knitted or crocheted; of regenerated fibres",,,
S2-84599,"Outerwear knitted or crocheted, not elastic nor rubberized; other, clothing accessories, non-elastic, knitted or crocheted; of other fibres",,,
S2-846,"Under-garments, knitted or crocheted",,,
S2-8461,"Under-garments, knitted or crocheted; of wool or fine animal hair, not elastic nor rubberized",,,
S2-84611,"Under-garments, knitted or crocheted; of wool or fine animal hair, not elastic nor rubberized; panty hose (tights)",,,
S2-84619,"Under-garments, knitted or crocheted; of wool or fine animal hair, not elastic nor rubberized; other wool or fine animal hair under garments",,,
S2-8462,"Under-garments, knitted or crocheted; of cotton, not elastic nor rubberized",,,
S2-84621,"Under-garments, knitted or crocheted; of cotton, not elastic nor rubberized; men's and boys, shirts",,,
S2-84629,"Under-garments, knitted or crocheted; of cotton, not elastic nor rubberized; other cotton under garments",,,
S2-8463,"Under-garments, knitted or crocheted; of synthetic fibres not elastic nor rubberized",,,
S2-84631,"Under-garments, knitted or crocheted; of synthetic fibres not elastic nor rubberized; panty hose (tights)",,,
S2-84632,"Under-garments, knitted or crocheted; of synthetic fibres not elastic nor rubberized; men's and boys', shirts",,,
S2-84633,"Under-garments, knitted or crocheted; of synthetic fibres not elastic nor rubberized; other under garments, men's and boys',",,,
S2-84634,"Under-garments, knitted or crocheted; of synthetic fibres not elastic nor rubberized; other under garments, women's, girls' and infants'",,,
S2-8464,"Under-garments, knitted or crocheted; of other fibres, not elastic nor rubberized",,,
S2-84641,"Under-garments, knitted or crocheted; of other fibres, not elastic nor rubberized; of regenerated fibres",,,
S2-84649,"Under-garments, knitted or crocheted; of other fibres, not elastic nor rubberized; of other fibres, nes",,,
S2-8465,"Corsets, garters, etc, not knitted or crocheted, elastic or not",,,
S2-84651,Brassieres,,,
S2-84652,"Corsets, braces, suspenders, garters and the like",,,
S2-847,"Clothing accessories, of textile fabrics, nes",,,
S2-8471,"Clothing accessories, of textile fabrics, not knitted or crocheted",,,
S2-84711,Handkerchiefs,,,
S2-84712,"Shawls, scarves, mantillas, veils and the like",,,
S2-84713,"Ties, bow ties and cravats",,,
S2-84714,"Gloves, mittens, stockings, socks and sockettes",,,
S2-84719,"Made up accessories, nes, for articles of apparel",,,
S2-8472,"Clothing accessories, knitted or crocheted, nes",,,
S2-84721,"Gloves, mittens and mitts, not elastic nor rubberized",,,
S2-84722,"Stockings, socks and the like, not elastic nor rubberized",,,
S2-84723,"Articles, nes, elastic or rubberized",,,
S2-848,"Articles of apparel, clothing accessories, non-textile, headgear",,,
S2-8481,"Articles of apparel, clothing accessories of leather",,,
S2-8482,"Articles of apparel, clothing accessories of plastic or rubber",,,
S2-84821,"Articles of apparel, clothing accessories of plastic or rubber; of artificial plastic materials, including gloves",,,
S2-84822,"Articles of apparel, clothing accessories of plastic or rubber; of unhardened vulcanized rubber, including gloves",,,
S2-8483,Fur clothing (not headgear) and other articles made of furskins,,,
S2-84831,"Articles of furskin, nes",,,
S2-84832,"Artificial fur and articles made thereof, nes",,,
S2-8484,"Headgear and fitting thereof, nes",,,
S2-84841,Felt hats and other felt headgear,,,
S2-84842,"Hats and other headgear, plaited",,,
S2-84843,"Hats and other headgear, knitted, crocheted, made of lace, textile",,,
S2-84848,"Head-bands, linings, covers, foundations, frames, etc",,,
S2-84849,Other headgear,,,
S2-85,Footwear,,,
S2-851,Footwear,,,
S2-8510,Footwear,,,
S2-85101,Footwear with outer soles and uppers of rubber or plastic,,,
S2-85102,"Footwear with outer soles of leather, of rubber or plastic",,,
S2-85103,Footwear with outer soles of wood or cork,,,
